	MW	AlogP	PSA	HBA
0	0.0	1.0	72.73111270481336	1.1416684150966834
1	3.63	544.59	391.4275648686457	0.9848635571682688
2	2.11	383.4	437.4589821943501	15.040385372412596
3	1.24	162.23	480.1112629835199	11.401906578750385
4	-1.37	361.37	448.86476920407927	5.73268953304881
5	1.18	232.24	340.06268955644265	-1.2957779135941203
6	4.24	357.79	444.7195422915856	5.821088750084527
7	-1.27	331.34	340.07082707332125	0.672629304940954
8	-1.41	319.33	240.2418196275796	8.409006713837137
9	3.88	377.43	34.709473503774014	-2.442904537454522
10	4.39	280.41	459.1385602072396	6.847987655565229
11	3.17	284.74	14.838889138502289	-1.798232760549694
12	1.76	267.36	222.33386724383308	7.116789244714856
13	-1.41	147.2	42.00909202398429	6.777620351503604
14	2.79	252.27	47.80558185382028	4.243578233479955
15	0.57	305.16	164.53651382117835	-4.641351513081172
16	1.49	258.32	197.0402766506969	11.200038047390755
17	0.03	236.27	45.87106302473964	11.233234180377249
18	-1.33	222.25	201.55044661274857	5.563664899847357
19	-0.21	172.2	287.4957992358386	11.089018040041546
20	1.54	290.32	211.0897928514916	9.516528376464793
21	3.09	414.52	327.87810650494254	8.949241062215334
22	0.67	266.34	419.5030905614428	-5.75897421623621
23	1.23	180.16	23.82829801858544	12.63566411010284
24	0.7	341.43	71.9627150354204	0.4612573314887829
25	2.54	259.34	271.8871034459152	5.239161427282184
26	2.41	270.24	429.212073343056	6.147436536704474
27	1.12	334.39	260.6585082328061	0.331418938686653
28	0.01	252.34	162.14219868958952	-0.7472319332778907
29	-0.91	375.39	239.57428894473165	3.73870882139933
30	-0.7	401.43	387.0839920133188	8.571813277830636
31	-1.37	361.37	326.0004257658235	13.2234606529625
32	-2.75	244.2	278.6618724260444	4.193390580775323
33	1.4	330.74	234.02080109008227	-0.2796060204356321
34	2.75	248.71	388.6992447642677	4.575246737805853
35	5.55	300.44	360.6146915291499	1.822287464477332
36	1.31	176.22	485.0669643985567	11.13493050751564
37	1.32	232.24	142.59722556019145	6.561635548471914
38	4.03	309.33	351.9711578800004	3.156312093285648
39	3.42	326.82	23.25643451439219	1.470688671001425
40	3.8	393.46	375.55555679287176	11.228195632462173
41	2.14	270.24	253.5819844870401	-1.0502709397374996
42	1.56	232.28	406.338944640555	11.85231612292825
43	2.63	293.36	225.4092085622057	6.927540200770128
44	10.44	430.71	366.3209772862625	2.89128422959258
45	2.02	385.5	161.9855423549011	10.47394318160046
46	1.63	302.24	20.142222062927207	10.394156749899745
47	2.99	395.43	474.13303989990976	5.069967681409426
48	4.71	302.36	452.0045605730655	-0.1681936132465278
49	3.12	267.32	39.839058657979706	1.4445021792157382
50	3.89	375.86	94.906487316388	-6.298588518863507
51	2.66	340.42	401.6878730161757	15.946900714433427
52	4.29	247.38	3.474847203045861	6.859679797311728
53	2.29	266.3	43.72062678989613	-0.3132557101090647
54	0.07	444.48	460.1147888975909	16.634627838368306
55	0.77	153.18	121.72788861348792	10.494189469054833
56	2.11	414.41	95.293626563967	7.399092337403967
57	4.07	287.78	333.671040961785	15.11118754547294
58	2.35	275.34	340.37817028937553	13.49155624202318
59	-0.81	137.14	410.5719651510847	14.14686939540808
60	1.75	348.35	254.81665364432035	6.56399381922569
61	1.48	304.25	72.62071279963284	5.867985211343632
62	3.51	316.35	13.473082980523907	0.7825267321120517
63	1.41	285.34	60.07130599042476	-7.836178032657568
64	4.74	318.86	267.6639089764629	8.848059332618607
65	3.85	266.38	165.37800380891144	11.822970233287553
66	1.77	468.37	382.57378371323057	14.137942013351154
67	3.61	531.43	114.29394800732685	6.461170725188823
68	4.35	319.87	387.46186748003726	-2.6912434403417844
69	2.0	282.33	30.822863847086268	7.080903179650064
70	-2.4	243.22	390.2132300144101	3.6145569727475153
71	2.63	234.34	342.0731792543957	13.457018175046452
72	1.45	327.37	145.73202575688364	-1.1641237058332177
73	6.46	473.58	393.7622287090175	2.781855870855069
74	6.32	371.51	59.21603765385891	0.1066717265291696
75	1.58	421.45	220.97588095297135	9.815976628488372
76	3.32	410.48	149.4026976306198	11.903639554801078
77	1.78	299.8	327.4182097548124	5.367857208724129
78	2.04	399.44	442.4942142986077	2.283545534770929
79	0.14	261.09	70.19336518551	6.315723323950133
80	-0.71	111.15	379.50319744001337	-1.9798139891999336
81	5.65	416.13	114.93969909444988	-0.4654827223604973
82	2.59	807.88	388.88413669787934	13.07759854074178
83	2.18	236.29	53.25456205424839	10.083684867285864
84	2.35	275.35	352.11394115897576	5.748191204852892
85	2.79	198.26	435.2184083573624	7.4259576133707075
86	-3.08	103.12	491.88991997820943	7.910358334733779
87	2.73	324.42	341.5626398953474	9.25691662430162
88	2.01	264.32	448.2484311965235	-0.8979013192568441
89	2.77	302.37	271.9354501972004	6.29745668591319
90	1.2	286.33	155.70302108473282	6.460563463983688
91	3.95	308.37	153.32927613177338	9.751226212033547
92	-0.91	455.47	342.5740063614469	-1.7431812368972963
93	3.86	314.46	93.63698544744996	10.153786455475798
94	5.22	344.84	325.65072959169544	2.233144713462225
95	-1.55	334.33	204.01819575580535	-2.4075361553804155
96	0.75	306.27	249.1709424994312	9.382694522762066
97	2.04	399.44	41.69611358222508	9.331030316597849
98	2.68	236.27	196.53169102981133	2.5335615729291856
99	2.75	144.21	403.53365322422695	5.007351485806113
100	1.0	260.25	458.1158602189841	5.013552761302899
101	6.61	463.79	205.72748193457585	2.0255786461292558
102	0.71	151.16	117.59784163998138	6.60589783282059
103	-0.1	194.19	171.76600102753682	-0.2189029106069071
104	3.67	670.84	60.294084524033394	9.235334113484772
105	3.08	613.79	104.4527120800836	5.7428111343512604
106	2.43	505.63	167.7897453930117	1.4034400852421616
107	2.65	254.24	461.10464442132735	2.277156676165003
108	4.43	381.37	340.11513256907284	4.151553439663798
109	2.78	369.42	16.81257885877463	0.2301465875802684
110	3.27	357.43	67.77043738474553	10.288528028558623
111	2.87	314.36	288.0877973823789	6.304970800430393
112	4.05	246.31	291.5380859404004	8.838762054799474
113	3.72	407.57	494.69196981663896	4.386862456103182
114	0.89	337.35	307.69154360571827	0.3591794074796013
115	-4.13	383.46	339.69521312832427	2.0704251916901315
116	1.44	295.4	338.3005497102139	3.830534169199102
117	0.06	267.24	270.58505672003	12.193388439025306
118	1.03	323.13	170.3994554522872	0.4530100570993269
119	1.26	360.44	225.9333804035387	-0.0333733549574262
120	2.35	230.09	418.9034762478684	14.963760005596006
121	3.84	272.38	124.07739180639842	11.739544418838992
