	City	Year	Tmp	std
0	Barcelona	1995	62.01917808219178	9.569756297123327
1	Barcelona	1996	61.125956284153	9.420764506001397
2	Barcelona	1997	62.61232876712329	9.827234879971101
3	Barcelona	1998	60.273972602739725	19.75012607691891
4	Barcelona	1999	61.20465753424658	13.904525518554435
5	Barcelona	2000	60.06939890710383	9.099817440252128
6	Barcelona	2001	59.27945205479452	10.523427017015313
7	Barcelona	2002	58.04410958904109	18.929773327478483
8	Barcelona	2003	63.139452054794525	15.153889346840758
9	Barcelona	2004	62.875136612021855	11.071518902264671
10	Barcelona	2005	62.041917808219175	12.211059284082598
11	Barcelona	2006	61.9854794520548	10.383211438819417
12	Barcelona	2007	60.556164383561644	13.128345584082622
13	Barcelona	2008	59.65191256830601	15.614665889880865
14	Barcelona	2009	61.55205479452055	13.90370839128742
15	Barcelona	2010	60.66794520547945	11.479319072602506
16	Barcelona	2011	62.834794520547945	10.102326479631735
17	Barcelona	2012	63.03224043715847	11.292237552376044
18	Barcelona	2013	62.24657534246575	10.973485554623132
19	Barcelona	2014	62.4372602739726	13.027373258325785
20	Barcelona	2015	61.795081967213115	16.233531266810775
21	Barcelona	2016	60.80081967213114	19.506541913124646
22	Barcelona	2017	62.51479452054795	11.352460171672947
23	Barcelona	2018	61.39150684931507	18.513200196464584
24	Barcelona	2019	59.71917808219178	23.21768377728357
25	Barcelona	2020	55.43731343283582	5.669011817215402
26	Bilbao	1995	58.94547945205479	9.152938194122601
27	Bilbao	1996	57.40928961748634	8.299521097803076
28	Bilbao	1997	59.65315068493151	8.59646759755442
29	Bilbao	1998	56.50794520547946	18.5087198753874
30	Bilbao	1999	57.86356164383562	13.254929144303365
31	Bilbao	2000	58.17704918032787	9.61060590126113
32	Bilbao	2001	59.25808219178082	10.785430834692193
33	Bilbao	2002	59.06191780821917	18.311794423082254
34	Bilbao	2003	61.981369863013704	11.109533738036083
35	Bilbao	2004	60.1620218579235	10.887947603849794
36	Bilbao	2005	60.47123287671233	12.180590300525083
37	Bilbao	2006	60.93150684931507	10.959762529415924
38	Bilbao	2007	57.3786301369863	12.556410441414583
39	Bilbao	2008	57.65546448087432	14.55881450004361
40	Bilbao	2009	58.33150684931507	12.957812746937886
41	Bilbao	2010	57.31945205479452	10.92548335370651
42	Bilbao	2011	60.06493150684932	9.37413895288166
43	Bilbao	2012	58.18196721311475	10.896172632501663
44	Bilbao	2013	58.078630136986305	10.692211568623678
45	Bilbao	2014	60.670410958904114	12.315738661838056
46	Bilbao	2015	59.060109289617486	14.845431712407324
47	Bilbao	2016	57.56174863387978	18.627752493559164
48	Bilbao	2017	58.8317808219178	9.579137034485704
49	Bilbao	2018	58.11095890410959	17.318878742319427
50	Bilbao	2019	57.03232876712329	20.566454771536044
51	Bilbao	2020	55.11492537313433	7.012797190171634
52	Bordeaux	1995	57.37013698630137	11.044040769557341
53	Bordeaux	1996	55.93497267759563	10.784892064762007
