# generated with fooo software version 12bis
# 2021/02/31
cond1	cond2	cond3	control
14.644417316782045	2.9453091400880465	24.81171864537413	5.114340165446571
12.071043262601615	4.406424332565544	21.574601309211538	2.5071180945299716
8.22746914709182	3.1852515050248806	20.651622951732826	4.449592659096083
8.980799267050571	9.233559928496131	24.859737015171184	4.127918884772492
9.080358618317588	5.6291920085265135	18.443503656148863	4.268572385815164
7.694230104854875	6.503020711301696	18.642541613874208	3.5498483909671847
7.599781675347266	0.7177137140372931	18.03202862910317	3.1828829793978084
11.698701634107119	5.233623279246819	23.233583470920532	4.551872236377363
12.85118587601311	4.164908508298177	16.777059698760876	4.012697826284397
10.222007465214453	3.8530606053667746	18.405248139687373	4.903494599422023
9.035341050392997	9.868423421164657	10.61345524543305	3.117720428019477
11.834986953457499	4.963792795860263	19.390888914271695	5.255737684774923
16.631862710777938	5.160719789626399	22.031801649843125	3.458114946454981
7.022382345586635	5.477115208396248	20.53377003464508	3.891374022263035
11.985764144031462	3.361795864423141	23.416100873409878	3.828626778977407
10.59188104130614	3.77317240684574	23.904882625215564	3.1120633325977027
15.35918866611064	4.036201248179169	17.908928899888497	3.939218000053589
7.7070476362557825	7.2307829291524195	20.88685879579244	3.021976077990768
13.369820519999111	1.265825280316033	17.216926090913454	3.3039869741919916
17.400218295628783	7.277575910141663	13.258902467740844	4.05865692313663
